Agency,Slug,Title,Chapter,Word Count
Administrative Conference of the United States,administrative-conference-of-the-united-states,1,III,63649
African Development Foundation,african-development-foundation,48,57,2390823
Advisory Council on Historic Preservation,advisory-council-on-historic-preservation,36,VIII,984413
Department of Agriculture,agriculture-department,2,IV,305159
Department of Agriculture,agriculture-department,5,LXXIII,1457374
African Development Foundation,african-development-foundation,22,XV,881604
United States Agency for Global Media,united-states-agency-for-global-media,22,V,881604
Agricultural Marketing Service,agricultural-marketing-service,9,II,961271
United States Agency for Global Media,united-states-agency-for-global-media,48,19,2390823
Department of Agriculture,agriculture-department,48,4,2390823
Agricultural Marketing Service,agricultural-marketing-service,7,I,5243321
Agricultural Marketing Service,agricultural-marketing-service,7,XI,5243321
Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,9,I,961271
Agricultural Marketing Service,agricultural-marketing-service,7,IX,5243321
Agricultural Marketing Service,agricultural-marketing-service,7,VIII,5243321
Department of Agriculture,agriculture-department,7,XVI,5243321
Food and Nutrition Service,food-and-nutrition-service,7,II,5243321
Food Safety and Inspection Service,food-safety-and-inspection-service,9,III,961271
Agricultural Research Service,agricultural-research-service,7,V,5243321
Forest Service,forest-service,36,II,984413
Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,7,III,5243321
Agricultural Marketing Service,agricultural-marketing-service,7,X,5243321
National Agricultural Statistics Service,national-agricultural-statistics-service,7,XXXVI,5243321
Federal Crop Insurance Corporation,federal-crop-insurance-corporation,7,IV,5243321
Commodity Credit Corporation,commodity-credit-corporation,7,XIV,5243321
Foreign Agricultural Service,foreign-agricultural-service,7,XV,5243321
Economic Research Service,economic-research-service,7,XXXVII,5243321
Farm Service Agency,farm-service-agency,7,VII,5243321
Office of Inspector General,inspector-general-office-agriculture-department,7,XXVI,5243321
National Institute of Food and Agriculture,national-institute-of-food-and-agriculture,7,XXXIV,5243321
Natural Resources Conservation Service,natural-resources-conservation-service,7,VI,5243321
Office of Environmental Quality,office-of-environmental-quality,7,XXXI,5243321
Office of Advocacy and Outreach,advocacy-and-outreach-office,7,XXV,5243321
Office of Chief Financial Officer,office-of-the-chief-financial-officer-agriculture-department,7,XXX,5243321
Rural Business-Cooperative Service,rural-business-cooperative-service,7,XVIII,5243321
Office of Energy Policy and New Uses,energy-policy-and-new-uses-office,7,XXIX,5243321
Office of Procurement and Property Management,procurement-and-property-management-office-of,7,XXXII,5243321
Office of Information Resources Management,office-of-information-resources-management,7,XXVII,5243321
Office of Operations,office-of-operations,7,XXVIII,5243321
Rural Business-Cooperative Service,rural-business-cooperative-service,7,XLII,5243321
Rural Business-Cooperative Service,rural-business-cooperative-service,7,L,5243321
Office of Transportation,transportation-office,7,XXXIII,5243321
Air Transportation System Stabilization,air-transportation-stabilization-board,14,VI,1903018
Rural Housing Service,rural-housing-service,7,XXXV,5243321
American Battle Monuments Commission,american-battle-monuments-commission,36,IV,984413
Rural Housing Service,rural-housing-service,7,XVIII,5243321
Arctic Research Commission,arctic-research-commission,45,XXIII,2001296
Rural Utilities Service,rural-utilities-service,7,XVII,5243321
Architectural and Transportation Barriers Compliance Board,architectural-and-transportation-barriers-compliance-board,36,XI,984413
Armed Forces Retirement Home,armed-forces-retirement-home,5,XI,1457374
Committee for Purchase From People Who Are Blind or Severely Disabled,committee-for-purchase-from-people-who-are-blind-or-severely-disabled,41,51,637940
Appalachian Regional Commission,appalachian-regional-commission,5,IX,1457374
Rural Housing Service,rural-housing-service,7,L,5243321
World Agricultural Outlook Board,world-agricultural-outlook-board,7,XXXVIII,5243321
Rural Utilities Service,rural-utilities-service,7,XLII,5243321
Central Intelligence Agency,central-intelligence-agency,32,XIX,1730123
Department of Commerce,commerce-department,2,XIII,305159
Armed Forces Retirement Home,armed-forces-retirement-home,38,II,1101391
Department of Commerce,commerce-department,44,IV,316207
Rural Utilities Service,rural-utilities-service,7,L,5243321
Economic Development Administration,economic-development-administration,13,III,504795
Bureau of Census,census-bureau,15,I,1120777
International Trade Administration,international-trade-administration,19,III,1213321
Commission on Civil Rights,civil-rights-commission,45,VII,2001296
Foreign-Trade Zones Board,foreign-trade-zones-board,15,IV,1120777
Bureau of Economic Analysis,economic-analysis-bureau,15,VIII,1120777
National Institute of Standards and Technology,national-institute-of-standards-and-technology,37,IV,580800
International Trade Administration,international-trade-administration,15,III,1120777
National Institute of Standards and Technology,national-institute-of-standards-and-technology,15,II,1120777
Department of Commerce,commerce-department,48,13,2390823
Bureau of Industry and Security,industry-and-security-bureau,15,VII,1120777
National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,15,IX,1120777
National Telecommunications and Information Administration,national-telecommunications-and-information-administration,47,IV,2079582
National Technical Information Service,national-technical-information-service,15,XI,1120777
National Telecommunications and Information Administration,national-telecommunications-and-information-administration,15,XXIII,1120777
Minority Business Development Agency,minority-business-development-agency,15,XIV,1120777
United States Patent and Trademark Office,patent-and-trademark-office,37,I,580800
National Telecommunications and Information Administration,national-telecommunications-and-information-administration,47,III,2079582
Commodity Futures Trading Commission,commodity-futures-trading-commission,5,XLI,1457374
National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,50,III,3322427
Office of Under-Secretary for Economic Affairs,under-secretary-for-economic-affairs,15,XV,1120777
National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,50,IV,3322427
Council of the Inspectors General on Integrity and Efficiency,council-of-the-inspectors-general-on-integrity-and-efficiency,5,XCVIII,1457374
Consumer Financial Protection Bureau,consumer-financial-protection-bureau,5,LXXXIV,1457374
Court Services and Offender Supervision Agency for the District of Columbia,court-services-and-offender-supervision-agency-for-the-district-of-columbia,5,LXX,1457374
Department of Defense,defense-department,2,XI,305159
Consumer Product Safety Commission,consumer-product-safety-commission,16,II,872833
National Oceanic and Atmospheric Administration National Marine Fisheries Service,national-oceanic-and-atmospheric-administration-national-marine-fisheries-service,50,II,3322427
Court Services and Offender Supervision Agency for the District of Columbia,court-services-and-offender-supervision-agency-for-the-district-of-columbia,28,VIII,1282317
Consumer Product Safety Commission,consumer-product-safety-commission,5,LXXI,1457374
Commodity Futures Trading Commission,commodity-futures-trading-commission,17,I,2243370
Defense Nuclear Facilities Safety Board,defense-nuclear-facilities-safety-board,10,XVII,2383586
Construction Industry Collective Bargaining Commission,construction-industry-collective-bargaining-commission,29,IX,3675576
Army Corps of Engineers,engineers-corps,33,II,1261876
Department of Defense,defense-department,5,XXVI,1457374
Army Corps of Engineers,engineers-corps,36,III,984413
Office of the Secretary,office-of-the-secretary,32,I,1730123
Department of Navy Acquisition Regulations,department-of-navy-acquisition-regulations,48,52,2390823
Delaware River Basin Commission,delaware-river-basin-commission,18,III,862467
